Scenario,Variant,ARI,ARI_ci_low,ARI_ci_high,RLE,RLE_ci_low,RLE_ci_high,Waste,Waste_ci_low,Waste_ci_high,SLCA,SLCA_ci_low,SLCA_ci_high,DecisionLatencyMs,DecisionLatencyMs_ci_low,DecisionLatencyMs_ci_high,ConstraintViolationRate,ConstraintViolationRate_ci_low,ConstraintViolationRate_ci_high,DownstreamViolationRate,DownstreamViolationRate_ci_low,DownstreamViolationRate_ci_high,ContainedViolationRate,ContainedViolationRate_ci_low,ContainedViolationRate_ci_high,n_seeds
heatwave,static,0.3962,0.3942,0.3995,0.0000,0.0000,0.0000,0.1122,0.1064,0.1156,0.5331,0.5325,0.5337,0.0928,0.0882,0.0976,0.5913,0.5839,0.5981,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,20
heatwave,hybrid_rl,0.5186,0.5145,0.5229,0.7808,0.7581,0.8041,0.0532,0.0498,0.0556,0.6676,0.6642,0.6714,0.2517,0.2316,0.2713,0.5901,0.5830,0.5969,0.1426,0.1252,0.1609,0.0865,0.0717,0.1038,20
heatwave,no_pinn,0.5352,0.5306,0.5393,0.8247,0.7984,0.8481,0.0407,0.0386,0.0431,0.6762,0.6721,0.6799,0.1799,0.1690,0.1911,0.5948,0.5877,0.6024,0.1253,0.1090,0.1415,0.1434,0.1252,0.1613,20
heatwave,no_slca,0.5059,0.5013,0.5100,0.7228,0.7012,0.7417,0.0517,0.0498,0.0538,0.6481,0.6442,0.6516,0.1776,0.1667,0.1889,0.5908,0.5849,0.5972,0.2544,0.2321,0.2761,0.1367,0.1162,0.1530,20
heatwave,agribrain,0.5487,0.5441,0.5549,0.8060,0.7832,0.8226,0.0312,0.0290,0.0327,0.6857,0.6815,0.6910,5.2393,5.0458,5.5391,0.5939,0.5880,0.5998,0.1213,0.1034,0.1381,0.1475,0.1312,0.1677,20
heatwave,no_context,0.5371,0.5323,0.5422,0.8181,0.7958,0.8398,0.0350,0.0334,0.0370,0.6751,0.6708,0.6799,0.1800,0.1688,0.1915,0.5878,0.5809,0.5941,0.1249,0.1052,0.1464,0.1496,0.1344,0.1692,20
heatwave,mcp_only,0.5485,0.5440,0.5527,0.8419,0.8212,0.8590,0.0299,0.0284,0.0318,0.6855,0.6814,0.6894,2.1911,1.9733,2.5383,0.5878,0.5809,0.5941,0.0847,0.0725,0.0967,0.1287,0.1113,0.1495,20
heatwave,pirag_only,0.5456,0.5406,0.5505,0.8201,0.7977,0.8418,0.0335,0.0319,0.0355,0.6833,0.6789,0.6881,3.8104,3.7183,3.9038,0.5878,0.5809,0.5941,0.1178,0.0979,0.1407,0.1461,0.1306,0.1668,20
heatwave,agribrain_cold_start,0.5469,0.5425,0.5526,0.8077,0.7831,0.8280,0.0317,0.0297,0.0331,0.6840,0.6801,0.6889,5.3621,5.1383,5.7347,0.5939,0.5880,0.5998,0.1249,0.1062,0.1416,0.1517,0.1377,0.1700,20
heatwave,agribrain_pert_10,0.5475,0.5430,0.5534,0.8077,0.7831,0.8280,0.0316,0.0295,0.0329,0.6846,0.6806,0.6895,5.2872,5.0863,5.5410,0.5939,0.5880,0.5998,0.1234,0.1046,0.1402,0.1517,0.1377,0.1700,20
heatwave,agribrain_pert_25,0.5478,0.5433,0.5537,0.8077,0.7831,0.8280,0.0315,0.0295,0.0329,0.6849,0.6809,0.6898,5.2175,5.0274,5.4464,0.5939,0.5880,0.5998,0.1231,0.1043,0.1399,0.1520,0.1379,0.1702,20
heatwave,agribrain_pert_50,0.5478,0.5433,0.5538,0.8077,0.7831,0.8280,0.0315,0.0295,0.0329,0.6849,0.6809,0.6898,6.1277,5.8855,6.6183,0.5939,0.5880,0.5998,0.1237,0.1050,0.1405,0.1517,0.1377,0.1700,20
heatwave,agribrain_pert_10_static,0.5465,0.5414,0.5515,0.8182,0.7958,0.8396,0.0319,0.0302,0.0341,0.6833,0.6787,0.6881,5.4837,5.1763,5.8376,0.5878,0.5809,0.5941,0.1178,0.0979,0.1404,0.1473,0.1308,0.1688,20
heatwave,agribrain_pert_25_static,0.5464,0.5416,0.5511,0.8182,0.7958,0.8396,0.0319,0.0303,0.0340,0.6832,0.6789,0.6877,5.3993,5.1230,5.8125,0.5878,0.5809,0.5941,0.1178,0.0981,0.1400,0.1470,0.1306,0.1683,20
heatwave,agribrain_pert_50_static,0.5456,0.5406,0.5507,0.8182,0.7958,0.8396,0.0321,0.0304,0.0343,0.6825,0.6780,0.6873,5.6479,5.4437,5.9995,0.5878,0.5809,0.5941,0.1190,0.0994,0.1412,0.1470,0.1306,0.1683,20
heatwave,agribrain_no_bonus,0.5416,0.5366,0.5466,0.8029,0.7778,0.8273,0.0338,0.0320,0.0360,0.6785,0.6740,0.6833,5.3551,5.0819,5.7772,0.5878,0.5809,0.5941,0.1398,0.1171,0.1641,0.1497,0.1347,0.1695,20
heatwave,agribrain_theta_pert_10,0.5470,0.5420,0.5518,0.8150,0.7865,0.8393,0.0319,0.0301,0.0340,0.6837,0.6790,0.6882,5.3596,5.1322,5.5843,0.5878,0.5809,0.5941,0.1200,0.0989,0.1445,0.1494,0.1329,0.1709,20
heatwave,agribrain_theta_pert_25,0.5446,0.5385,0.5510,0.8129,0.7823,0.8409,0.0328,0.0305,0.0353,0.6815,0.6759,0.6876,6.0461,5.6119,6.6317,0.5878,0.5809,0.5941,0.1312,0.1053,0.1547,0.1460,0.1259,0.1714,20
heatwave,agribrain_theta_pert_50,0.5467,0.5391,0.5541,0.8181,0.7871,0.8447,0.0320,0.0296,0.0348,0.6836,0.6765,0.6906,5.3987,5.1407,5.7050,0.5878,0.5809,0.5941,0.1244,0.0977,0.1523,0.1410,0.1184,0.1647,20
overproduction,static,0.4059,0.4042,0.4080,0.0000,0.0000,0.0000,0.1254,0.1223,0.1277,0.5139,0.5132,0.5146,0.0914,0.0859,0.0971,0.6958,0.6882,0.7035,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,20
overproduction,hybrid_rl,0.5399,0.5360,0.5440,0.7828,0.7623,0.8059,0.0675,0.0638,0.0697,0.6430,0.6398,0.6468,0.1868,0.1757,0.1977,0.6852,0.6780,0.6922,0.1928,0.1719,0.2149,0.0955,0.0782,0.1140,20
